WL,BL,Dir Read R,Auto. Output,Expected Behaviour RREF Lo,RREF 1 Behavior,Expected Behavior RREF Hi,RREF 0 Behavior
WL_0,BL_0,7633.627869865334,unknown,0,,1,1
WL_0,BL_1,3270.3755358885,set,0,,1,1
WL_0,BL_2,62862.879045722686,unknown,0,,1,1
WL_0,BL_3,880902.1824602003,unformed,0,,0,0
WL_0,BL_4,7220.0508278456355,unknown,0,,1,1
WL_0,BL_5,15589.96537164855,unknown,0,,1,1
WL_0,BL_6,43085.24862834093,unknown,0,,1,1
WL_0,BL_7,5475.130059637067,unknown,0,,1,1
WL_0,BL_8,4971.357005095033,set,0,,1,1
WL_0,BL_9,1704.8914716386803,set,0,,1,1
WL_0,BL_10,12370060.66188885,unformed,0,,0,1
WL_0,BL_11,93221.06480104587,unknown,0,,1,1
WL_0,BL_12,632649.6918264474,unformed,0,,0,1
WL_0,BL_13,66337.5995779671,unknown,0,,1,1
WL_0,BL_14,9422.319937877543,unknown,0,,1,0
WL_0,BL_15,23587.94051937309,unknown,0,,1,1
WL_0,BL_16,6445.179091677113,unknown,0,,1,1
WL_0,BL_17,11693.881400464401,unknown,0,,1,1
WL_0,BL_18,9382.427375785357,unknown,0,,1,1
WL_0,BL_19,13491.120409348521,unknown,0,,1,0
WL_0,BL_20,2790.8566119874604,set,0,,1,1
WL_0,BL_21,3999.2241871470196,set,0,,1,1
WL_0,BL_22,101442.8072625052,reset,0,,0,1
WL_0,BL_23,6765.0574511968325,unknown,0,,1,1
WL_0,BL_24,1188.6201093578616,set,0,,1,1
WL_0,BL_25,5771.242798558061,unknown,0,,1,1
WL_0,BL_26,4835.405665216468,set,0,,1,1
WL_0,BL_27,2063.0372482256435,set,0,,1,1
WL_0,BL_28,1661.2806351488773,set,0,,1,1
WL_0,BL_29,1321.0524575242498,set,0,,1,0
WL_0,BL_30,2223.9109485719955,set,0,,1,1
WL_0,BL_31,1457.080701685268,set,0,,1,1
,,,,,,,
,,,,,,,

